# Wamoduck reference quasi-static gait / 参考准静态步态 | units: q in rad, tau in N.m, position in m | step_len=0.01 m, step_time=1.0 s, speed=0.01 m/s, foot_lift=0.0045 m, swing_window=0.3, stance_width=0.165 m | kinematic IK plan, not a trained policy and not hardware data
t_s,q_left_hip_yaw,q_left_hip_roll,q_left_hip_pitch,q_left_knee,q_left_ankle,q_right_hip_yaw,q_right_hip_roll,q_right_hip_pitch,q_right_knee,q_right_ankle,q_neck_pitch,q_head_pitch,q_head_yaw,q_head_roll,q_mouth,tau_left_hip_yaw,tau_left_hip_roll,tau_left_hip_pitch,tau_left_knee,tau_left_ankle,tau_right_hip_yaw,tau_right_hip_roll,tau_right_hip_pitch,tau_right_knee,tau_right_ankle,tau_neck_pitch,tau_head_pitch,tau_head_yaw,tau_head_roll,tau_mouth,base_x,base_y,base_z,base_roll_rad
1.000000,0.022799,-0.011684,0.105415,-0.188415,0.083114,-0.023135,0.012344,0.107404,-0.191869,0.084590,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.136357,0.067987,-0.597448,1.076466,-0.480122,0.138681,-0.071805,-0.607830,1.095219,-0.488537,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.173492,0.000000
1.100000,0.028315,-0.013696,0.118767,-0.215555,0.097068,-0.029020,0.014479,0.120604,-0.219273,0.098976,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.166497,0.078195,-0.659821,1.208857,-0.551090,0.170586,-0.082661,-0.669462,1.228891,-0.561671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.172868,0.000000
1.200000,0.034080,-0.015668,0.131101,-0.241475,0.110771,-0.034925,0.016562,0.133209,-0.245788,0.113009,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.197264,0.087968,-0.715627,1.332229,-0.619366,0.202094,-0.092975,-0.726465,1.355062,-0.631581,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.172263,0.000000
1.300000,0.039595,-0.017625,0.142754,-0.266099,0.123950,-0.040365,0.018621,0.144856,-0.270312,0.126111,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.223779,0.097287,-0.768467,1.445889,-0.681239,0.227772,-0.102796,-0.779734,1.468324,-0.692759,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.171691,0.000000
1.400000,0.044571,-0.019416,0.153407,-0.288505,0.135850,-0.045410,0.020508,0.155622,-0.292983,0.138169,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.245898,0.105532,-0.816230,1.546164,-0.734554,0.249751,-0.111423,-0.828078,1.569256,-0.746125,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.171166,0.000000
1.500000,0.049006,-0.021018,0.162526,-0.307923,0.146275,-0.049824,0.022253,0.165054,-0.312875,0.148853,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.263517,0.112416,-0.856097,1.628643,-0.777653,0.267131,-0.118950,-0.869806,1.654341,-0.790434,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.170702,0.000000
1.600000,0.052618,-0.022456,0.170482,-0.324566,0.155181,-0.053211,0.023698,0.173179,-0.329430,0.157423,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.277067,0.118309,-0.888788,1.695325,-0.812623,0.279853,-0.124832,-0.902936,1.720378,-0.823937,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170310,0.000000
1.700000,0.054510,-0.023509,0.177503,-0.337463,0.161145,-0.054776,0.024785,0.180576,-0.342427,0.163102,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.282179,0.122130,-0.915865,1.742114,-0.832665,0.283323,-0.128714,-0.931692,1.767329,-0.842356,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.169999,0.000000
1.800000,0.055719,-0.024252,0.182609,-0.346604,0.165233,-0.056391,0.025594,0.185380,-0.351676,0.167616,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.285399,0.124217,-0.933173,1.769016,-0.842308,0.288996,-0.131085,-0.947494,1.794766,-0.854171,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.169777,0.000000
1.900000,0.056635,-0.024694,0.185330,-0.351845,0.167791,-0.057303,0.026061,0.188143,-0.356972,0.170191,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.300927,0.125139,-0.946371,1.781929,-0.842429,0.305180,-0.132065,-0.960093,1.806907,-0.854168,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.169650,0.000000
2.000000,0.056860,-0.024804,0.186005,-0.353142,0.168423,-0.057768,0.026178,0.188970,-0.358318,0.170726,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.301017,0.125753,-0.966157,1.828264,-0.869072,0.319109,-0.131442,-0.965631,1.803136,-0.845190,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.169618,0.000000
2.100000,0.068288,-0.024809,0.192556,-0.354499,0.163507,-0.069189,0.026180,0.195546,-0.359690,0.165817,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.328909,0.126009,-1.018920,1.907003,-0.895707,0.388491,-0.130445,-1.002046,1.803562,-0.810925,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.001000,-0.000000,0.169618,0.000000
2.200000,0.070594,-0.025517,0.210092,-0.391606,0.183222,-0.080551,0.026016,0.201825,-0.360552,0.160679,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.292301,0.126651,-1.079893,2.106584,-1.033749,0.456539,-0.128772,-1.040515,1.805515,-0.776018,-0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,-0.000000,0.169618,0.000000
2.300000,0.049378,-0.026350,0.231914,-0.459439,0.228725,-0.091852,0.025689,0.207797,-0.360893,0.155309,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.107790,0.122442,-1.118674,2.370805,-1.255193,0.512114,-0.126258,-1.071217,1.804724,-0.745699,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,-0.000000,0.169618,0.000000
2.400000,0.010979,-0.024510,0.214829,-0.480617,0.265947,-0.101865,0.025142,0.214576,-0.360671,0.148508,0.000000,0.000000,0.000000,-0.000000,0.000000,0.135816,0.105043,-0.942323,2.333623,-1.388847,0.560407,-0.122674,-1.104831,1.800912,-0.709095,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.004000,-0.000000,0.169618,0.000000
2.500000,-0.043764,-0.017845,0.163319,-0.425122,0.260923,-0.111488,0.024431,0.221322,-0.359900,0.141152,0.000000,0.000000,0.000000,-0.000000,0.000000,0.392846,0.069753,-0.636500,1.937402,-1.293759,0.608305,-0.118332,-1.136809,1.794373,-0.671232,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.005000,-0.000000,0.169618,0.000000
2.600000,-0.086948,-0.011066,0.101801,-0.334340,0.231516,-0.121211,0.023578,0.227578,-0.358590,0.133720,0.000000,0.000000,0.000000,-0.000000,0.000000,0.551767,0.040001,-0.355980,1.458534,-1.095814,0.657942,-0.113346,-1.165150,1.785152,-0.634203,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006000,-0.000000,0.169618,0.000000
2.700000,-0.094930,-0.009765,0.078243,-0.294389,0.215137,-0.132343,0.022623,0.232143,-0.356788,0.127492,0.000000,0.000000,0.000000,-0.000000,0.000000,0.515670,0.043022,-0.309822,1.324735,-1.009474,0.715201,-0.107873,-1.184460,1.773460,-0.603746,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.007000,-0.000000,0.169618,0.000000
2.800000,-0.083999,-0.011794,0.088942,-0.301914,0.211886,-0.143385,0.021510,0.236375,-0.354433,0.120999,0.000000,0.000000,0.000000,-0.000000,0.000000,0.392989,0.063780,-0.448915,1.478134,-1.023820,0.771885,-0.101594,-1.202172,1.758978,-0.571848,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.008000,-0.000000,0.169618,0.000000
2.900000,-0.073207,-0.013659,0.099474,-0.308884,0.208302,-0.154360,0.020240,0.240243,-0.351522,0.114266,0.000000,0.000000,0.000000,-0.000000,0.000000,0.312813,0.077220,-0.548957,1.577161,-1.022747,0.825664,-0.094493,-1.220626,1.742336,-0.536718,-0.000000,0.000000,0.000000,0.000000,0.000000,0.009000,-0.000000,0.169618,0.000000
3.000000,-0.062508,-0.015426,0.110042,-0.315694,0.204630,-0.165266,0.018816,0.243738,-0.348046,0.107288,0.000000,0.000000,0.000000,-0.000000,0.000000,0.259465,0.085333,-0.601732,1.609712,-1.003186,0.873781,-0.088639,-1.266958,1.778721,-0.526760,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.010000,-0.000000,0.169618,0.000000
3.100000,-0.051967,-0.016973,0.120211,-0.321583,0.200427,-0.175598,0.017232,0.247122,-0.343716,0.099500,0.000000,0.000000,0.000000,0.000000,0.000000,0.205296,0.092437,-0.649588,1.636286,-0.982533,0.913151,-0.084843,-1.325724,1.851362,-0.540659,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.011000,0.000000,0.169618,-0.000000
3.200000,-0.041538,-0.018360,0.130173,-0.326925,0.195921,-0.181483,0.016932,0.272692,-0.379861,0.110163,0.000000,0.000000,0.000000,0.000000,0.000000,0.150627,0.098771,-0.695245,1.659908,-0.961279,0.912935,-0.088245,-1.464301,2.077026,-0.628460,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.012000,0.000000,0.169618,-0.000000
3.300000,-0.029747,-0.019706,0.138482,-0.331613,0.192472,-0.183800,0.019000,0.312059,-0.456780,0.148101,0.000000,0.000000,0.000000,0.000000,0.000000,0.089085,0.104877,-0.732547,1.680271,-0.945384,0.887165,-0.102121,-1.619445,2.421483,-0.819443,0.000000,0.000000,0.000000,-0.000000,0.000000,0.013000,0.000000,0.169618,-0.000000
3.400000,-0.016936,-0.020969,0.145501,-0.335733,0.189798,-0.170458,0.021743,0.329483,-0.497996,0.172138,0.000000,0.000000,0.000000,0.000000,0.000000,0.022309,0.110592,-0.763670,1.698453,-0.933772,0.795489,-0.116504,-1.622473,2.508150,-0.903859,0.000000,0.000000,-0.000000,0.000000,0.000000,0.014000,0.000000,0.169618,-0.000000
3.500000,-0.004178,-0.022057,0.152256,-0.339341,0.186906,-0.150261,0.023324,0.300851,-0.466328,0.168853,0.000000,0.000000,0.000000,0.000000,0.000000,-0.042891,0.115309,-0.795113,1.714763,-0.920078,0.691073,-0.121123,-1.413987,2.221274,-0.823581,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.015000,0.000000,0.169618,-0.000000
3.600000,0.008537,-0.022974,0.158892,-0.342679,0.183888,-0.134686,0.023463,0.251310,-0.394991,0.146736,0.000000,0.000000,0.000000,0.000000,0.000000,-0.106271,0.119036,-0.827517,1.729861,-0.904282,0.640624,-0.117199,-1.145865,1.805269,-0.673884,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.016000,0.000000,0.169618,-0.000000
3.700000,0.021279,-0.023726,0.165534,-0.346036,0.180903,-0.132343,0.022623,0.232143,-0.356788,0.127492,0.000000,0.000000,0.000000,0.000000,0.000000,-0.168662,0.121873,-0.860967,1.745051,-0.887572,0.665081,-0.109388,-1.084137,1.640022,-0.569621,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.017000,0.000000,0.169618,-0.000000
3.800000,0.033933,-0.024303,0.171951,-0.348914,0.177676,-0.143385,0.021510,0.236375,-0.354433,0.120999,0.000000,0.000000,0.000000,0.000000,0.000000,-0.230080,0.123807,-0.893633,1.757641,-0.869057,0.752709,-0.101784,-1.168407,1.707544,-0.553713,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.018000,0.000000,0.169618,-0.000000
3.900000,0.045752,-0.024657,0.178820,-0.351289,0.173480,-0.154360,0.020240,0.240243,-0.351522,0.114266,0.000000,0.000000,0.000000,0.000000,0.000000,-0.287388,0.124666,-0.928110,1.767964,-0.846354,0.825407,-0.094467,-1.219462,1.740349,-0.535889,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.019000,0.000000,0.169618,-0.000000
4.000000,0.056860,-0.024804,0.186005,-0.353142,0.168423,-0.165266,0.018816,0.243738,-0.348046,0.107288,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.328295,0.125676,-0.979128,1.824927,-0.853420,0.878415,-0.086565,-1.237126,1.721153,-0.498696,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.020000,-0.000000,0.169618,0.000000
4.100000,0.068288,-0.024809,0.192556,-0.354499,0.163507,-0.175598,0.017232,0.247122,-0.343716,0.099500,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.343104,0.126044,-1.027331,1.907487,-0.888127,0.928238,-0.077885,-1.253498,1.696634,-0.457112,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.021000,-0.000000,0.169618,0.000000
4.200000,0.070594,-0.025517,0.210092,-0.391606,0.183222,-0.185088,0.015495,0.251082,-0.339159,0.090835,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.293666,0.126663,-1.080694,2.106781,-1.033180,0.974157,-0.068465,-1.272413,1.670937,-0.411423,0.000000,0.000000,0.000000,0.000000,0.000000,0.022000,-0.000000,0.169618,0.000000
4.300000,0.049378,-0.026350,0.231914,-0.459439,0.228725,-0.194532,0.013619,0.254576,-0.333958,0.081927,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.107790,0.122442,-1.118674,2.370805,-1.255193,1.021450,-0.058376,-1.287718,1.642360,-0.366149,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.023000,-0.000000,0.169618,0.000000
4.400000,0.010979,-0.024510,0.214829,-0.480617,0.265947,-0.204043,0.011606,0.257521,-0.328152,0.072898,0.000000,0.000000,0.000000,-0.000000,0.000000,0.135816,0.105043,-0.942323,2.333623,-1.388847,1.070138,-0.047626,-1.299009,1.610391,-0.321164,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.024000,-0.000000,0.169618,0.000000
4.500000,-0.043764,-0.017845,0.163319,-0.425122,0.260923,-0.214582,0.009458,0.259036,-0.321768,0.064663,0.000000,0.000000,0.000000,-0.000000,0.000000,0.392846,0.069753,-0.636500,1.937402,-1.293759,1.123914,-0.036135,-1.302866,1.575001,-0.279727,0.000000,0.000000,-0.000000,0.000000,0.000000,0.025000,-0.000000,0.169618,0.000000
4.600000,-0.086948,-0.011066,0.101801,-0.334340,0.231516,-0.225037,0.007171,0.260196,-0.314861,0.056183,0.000000,0.000000,0.000000,-0.000000,0.000000,0.551767,0.040001,-0.355980,1.458534,-1.095814,1.177093,-0.024029,-1.305383,1.537515,-0.237300,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.026000,-0.000000,0.169618,0.000000
4.700000,-0.094930,-0.009765,0.078243,-0.294389,0.215137,-0.235404,0.004691,0.260652,-0.306871,0.047109,0.000000,0.000000,0.000000,-0.000000,0.000000,0.515670,0.043022,-0.309822,1.324735,-1.009474,1.228970,-0.010953,-1.307242,1.497448,-0.191818,0.000000,0.000000,0.000000,-0.000000,0.000000,0.027000,-0.000000,0.169618,0.000000
4.800000,-0.083999,-0.011794,0.088942,-0.301914,0.211886,-0.245634,0.002143,0.260980,-0.298705,0.038051,0.000000,0.000000,0.000000,-0.000000,0.000000,0.392989,0.063780,-0.448915,1.478134,-1.023820,1.280627,0.002485,-1.311810,1.461709,-0.148225,0.000000,0.000000,-0.000000,0.000000,0.000000,0.028000,-0.000000,0.169618,0.000000
4.900000,-0.073207,-0.013659,0.099474,-0.308884,0.208302,-0.256042,-0.000546,0.261906,-0.291676,0.029428,0.000000,0.000000,0.000000,-0.000000,0.000000,0.312813,0.077220,-0.548957,1.577161,-1.022747,1.331498,0.016467,-1.321765,1.433533,-0.106391,0.000000,0.000000,-0.000000,0.000000,0.000000,0.029000,-0.000000,0.169618,0.000000
5.000000,-0.062508,-0.015426,0.110042,-0.315694,0.204630,-0.267103,-0.003393,0.265426,-0.289126,0.022572,0.000000,0.000000,0.000000,-0.000000,0.000000,0.259465,0.085333,-0.601732,1.609712,-1.003186,1.373726,0.025706,-1.368525,1.485079,-0.108586,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.030000,-0.000000,0.169618,0.000000
5.100000,-0.051967,-0.016973,0.120211,-0.321583,0.200427,-0.276658,-0.006349,0.270139,-0.286358,0.014217,0.000000,0.000000,0.000000,0.000000,0.000000,0.205296,0.092437,-0.649588,1.636286,-0.982533,1.386440,0.027727,-1.434011,1.582762,-0.139828,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.031000,0.000000,0.169618,-0.000000
5.200000,-0.041538,-0.018360,0.130173,-0.326925,0.195921,-0.277499,-0.005463,0.292302,-0.325040,0.031025,0.000000,0.000000,0.000000,0.000000,0.000000,0.150627,0.098771,-0.695245,1.659908,-0.961279,1.330503,0.007877,-1.556543,1.847863,-0.287305,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.032000,0.000000,0.169618,-0.000000
5.300000,-0.029747,-0.019706,0.138482,-0.331613,0.192472,-0.260478,0.002075,0.327938,-0.409486,0.081886,0.000000,0.000000,0.000000,0.000000,0.000000,0.089085,0.104877,-0.732547,1.680271,-0.945384,1.180640,-0.041710,-1.682114,2.245522,-0.571431,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.033000,0.000000,0.169618,-0.000000
5.400000,-0.016936,-0.020969,0.145501,-0.335733,0.189798,-0.222969,0.012275,0.345952,-0.474558,0.131181,0.000000,0.000000,0.000000,0.000000,0.000000,0.022309,0.110592,-0.763670,1.698453,-0.933772,0.950019,-0.095509,-1.683420,2.455066,-0.790365,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.034000,0.000000,0.169618,-0.000000
5.500000,-0.004178,-0.022057,0.152256,-0.339341,0.186906,-0.178246,0.019821,0.310440,-0.458726,0.151704,0.000000,0.000000,0.000000,0.000000,0.000000,-0.042891,0.115309,-0.795113,1.714763,-0.920078,0.737127,-0.124556,-1.443403,2.242175,-0.819125,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.035000,0.000000,0.169618,-0.000000
5.600000,0.008537,-0.022974,0.158892,-0.342679,0.183888,-0.142132,0.022747,0.254308,-0.393604,0.142428,0.000000,0.000000,0.000000,0.000000,0.000000,-0.106271,0.119036,-0.827517,1.729861,-0.904282,0.611858,-0.125750,-1.141373,1.828785,-0.703713,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.036000,0.000000,0.169618,-0.000000
5.700000,0.021279,-0.023726,0.165534,-0.346036,0.180903,-0.132343,0.022623,0.232143,-0.356788,0.127492,0.000000,0.000000,0.000000,0.000000,0.000000,-0.168662,0.121873,-0.860967,1.745051,-0.887572,0.629522,-0.114135,-1.071275,1.650608,-0.593095,0.000000,0.000000,-0.000000,0.000000,0.000000,0.037000,0.000000,0.169618,-0.000000
5.800000,0.033933,-0.024303,0.171951,-0.348914,0.177676,-0.143385,0.021510,0.236375,-0.354433,0.120999,0.000000,0.000000,0.000000,0.000000,0.000000,-0.230080,0.123807,-0.893633,1.757641,-0.869057,0.742728,-0.102874,-1.163388,1.709642,-0.560750,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.038000,0.000000,0.169618,-0.000000
5.900000,0.045752,-0.024657,0.178820,-0.351289,0.173480,-0.154360,0.020240,0.240243,-0.351522,0.114266,0.000000,0.000000,0.000000,0.000000,0.000000,-0.287388,0.124666,-0.928110,1.767964,-0.846354,0.825226,-0.094483,-1.219389,1.740382,-0.535992,0.000000,-0.000000,0.000000,0.000000,0.000000,0.039000,0.000000,0.169618,-0.000000
6.000000,0.056860,-0.024804,0.186005,-0.353142,0.168423,-0.165266,0.018816,0.243738,-0.348046,0.107288,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.328295,0.125676,-0.979128,1.824927,-0.853420,0.878415,-0.086565,-1.237126,1.721153,-0.498696,0.000000,0.000000,0.000000,-0.000000,0.000000,0.040000,-0.000000,0.169618,0.000000
6.100000,0.068288,-0.024809,0.192556,-0.354499,0.163507,-0.175598,0.017232,0.247122,-0.343716,0.099500,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.343104,0.126044,-1.027331,1.907487,-0.888127,0.928238,-0.077885,-1.253498,1.696634,-0.457112,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.041000,-0.000000,0.169618,0.000000
6.200000,0.070594,-0.025517,0.210092,-0.391606,0.183222,-0.185088,0.015495,0.251082,-0.339159,0.090835,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.293666,0.126663,-1.080694,2.106781,-1.033180,0.974157,-0.068465,-1.272413,1.670937,-0.411423,0.000000,0.000000,-0.000000,0.000000,0.000000,0.042000,-0.000000,0.169618,0.000000
6.300000,0.049378,-0.026350,0.231914,-0.459439,0.228725,-0.194532,0.013619,0.254576,-0.333958,0.081927,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.107790,0.122442,-1.118674,2.370805,-1.255193,1.021450,-0.058376,-1.287718,1.642360,-0.366149,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.043000,-0.000000,0.169618,0.000000
6.400000,0.010979,-0.024510,0.214829,-0.480617,0.265947,-0.204043,0.011606,0.257521,-0.328152,0.072898,0.000000,0.000000,0.000000,-0.000000,0.000000,0.135816,0.105043,-0.942323,2.333623,-1.388847,1.070138,-0.047626,-1.299009,1.610391,-0.321164,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.044000,-0.000000,0.169618,0.000000
6.500000,-0.043764,-0.017845,0.163319,-0.425122,0.260923,-0.214582,0.009458,0.259036,-0.321768,0.064663,0.000000,0.000000,0.000000,-0.000000,0.000000,0.392846,0.069753,-0.636500,1.937402,-1.293759,1.123914,-0.036135,-1.302866,1.575001,-0.279727,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.045000,-0.000000,0.169618,0.000000
6.600000,-0.086948,-0.011066,0.101801,-0.334340,0.231516,-0.225037,0.007171,0.260196,-0.314861,0.056183,0.000000,0.000000,0.000000,-0.000000,0.000000,0.551767,0.040001,-0.355980,1.458534,-1.095814,1.177093,-0.024029,-1.305383,1.537515,-0.237300,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.046000,-0.000000,0.169618,0.000000
6.700000,-0.094930,-0.009765,0.078243,-0.294389,0.215137,-0.235404,0.004691,0.260652,-0.306871,0.047109,0.000000,0.000000,0.000000,-0.000000,0.000000,0.515670,0.043022,-0.309822,1.324735,-1.009474,1.228970,-0.010953,-1.307242,1.497448,-0.191818,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.047000,-0.000000,0.169618,0.000000
6.800000,-0.083999,-0.011794,0.088942,-0.301914,0.211886,-0.245634,0.002143,0.260980,-0.298705,0.038051,0.000000,0.000000,0.000000,-0.000000,0.000000,0.392989,0.063780,-0.448915,1.478134,-1.023820,1.280627,0.002485,-1.311810,1.461709,-0.148225,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.048000,-0.000000,0.169618,0.000000
